"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"YEATS4"	"YEATS4"	"VPS72"	"EPC2"	"BRD8"	"EPC1"	"KAT5"	"ING3"	"EP400"	"DMAP1"	"MBTD1"	"MRGBP"	"ACTR6"	"ZNHIT1"	"JAZF1"	"TRRAP"	"SRCAP"	"MORF4L1"	"MEAF6"	"MORF4L2"	"TTI2"	"MYC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"STON2"	"STON2"	"AP2M1"	"BMP2K"	"EPS15"	"DAB2"	"AP2B1"	"FCHO2"	"PIK3C2A"	"AAK1"	"AP2A1"	"MYO6"	"REPS1"	"RALBP1"	"NUMB"	"AP2S1"	"AP2A2"	"SNX29"	"REXO1"	"REPS2"	"KIF13A"	"GULP1"	"SLC25A41"	"CALCOCO1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SRSF9"	"SRSF9"	"SRSF1"	"BCLAF1"	"SRSF7"	"TRA2B"	"PRPF8"	"SNRNP200"	"SRSF4"	"SRSF6"	"EFTUD2"	"SRRT"	"SRSF3"	"SRSF10"	"U2AF2"	"SRRM1"	"SRRM2"	"PUF60"	"PRPF40A"	"CLK3"	"RBM39"	"RBM25"	"SRSF2"	"PNN"	"CASC3"	"TRA2A"	"ZC3H14"	"THRAP3"	"PABPN1"	"MKRN1"	"CLK2"	"SRSF8"	"PPIG"	"SNRNP70"	"ACIN1"	"CDC73"	"THOC2"	"LUC7L3"	"DDX46"	"MSH6"	"SRSF12"	"TPR"	"CWC22"	"SRSF11"	"ZC3H18"	"RNPS1"	"SPEN"	"SRSF5"	"ENSG00000146963"	"PRPF4B"	"U2AF1L5"	"RBMXL1"	"TTC14"	"LMNB1"	"KIAA1429"	"MATR3"	"LUC7L"	"SREK1"	"IPO7"	"PPHLN1"	"WBP11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SNRPA1"	"SNRPA1"	"SNRPD1"	"SF3B1"	"SF3B3"	"SF3B2"	"SNRPD2"	"SF3A3"	"SF3A2"	"SF3A1"	"SNRPB2"	"PRPF19"	"DHX15"	"PRPF8"	"SF3B5"	"PRPF31"	"SNRPN"	"SRRT"	"SF3B6"	"SART1"	"SNRNP200"	"SNRPF"	"CDC5L"	"PRPF4"	"PRPF6"	"PHF5A"	"EFTUD2"	"SNW1"	"PRKRIP1"	"SMNDC1"	"PRPF40A"	"DDX17"	"HTATSF1"	"RBM25"	"NUDT21"	"SLC4A1AP"	"DDX23"	"GPATCH11"	"KPNB1"	"EIF2S2"	"THOC2"	"SF3B4"	"SNRNP40"	"CPSF6"	"U2SURP"	"TPR"	"CDC73"	"TCERG1"	"SNU13"	"RANBP2"	"CDK12"	"CD2BP2"	"USP39"	"TFIP11"	"PPM1G"	"XAB2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SMARCB1"	"SMARCB1"	"SMARCC1"	"SMARCC2"	"SMARCD2"	"SMARCE1"	"SMARCD1"	"SMARCD3"	"SMARCA4"	"ARID1A"	"SMARCA2"	"ARID1B"	"ACTL6A"	"DPF3"	"DPF2"	"BCL7B"	"BCL7A"	"ARID2"	"BRD7"	"SS18"	"TBL1XR1"	"SS18L1"	"BCL7C"	"PBRM1"	"BRD9"	"PHF10"	"ACTL6B"	"DPF1"	"BICRA"	"TBL1X"	"BICRAL"	"TOP2B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SF3B1"	"SF3B1"	"SNRPA1"	"SF3B2"	"SF3A1"	"SF3A3"	"SF3B3"	"PRPF19"	"SF3A2"	"SF3B4"	"SNRPD2"	"SNRPD1"	"SNRPB2"	"CDC5L"	"U2SURP"	"SF3B6"	"DHX15"	"PRPF31"	"PHF5A"	"SRRT"	"RBM25"	"PRPF3"	"PLRG1"	"NUDT21"	"SART1"	"PRPF40A"	"SNRNP200"	"PRPF8"	"PRPF4"	"TPR"	"PRPF6"	"CPSF6"	"KPNB1"	"SF3B5"	"DDX23"	"EFTUD2"	"DDX17"	"CCDC97"	"RANBP2"	"CD2BP2"	"TCERG1"	"PSIP1"	"CDC73"	"THOC2"	"SNU13"	"USP39"	"WBP11"	"EIF2S2"	"CDK12"	"PPM1G"	"XAB2"	"SNW1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SEPT9"	"SEPT9"	"SEPT2"	"SEPT6"	"SEPT11"	"SEPT10"	"SEPT7"	"SEPT8"	"CDC42EP4"	"SEPT4"	"SEPT5"	"SEPT3"	"SEPT1"	"SEPT14"	"SEPT12"	"ANLN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SEPT10"	"SEPT10"	"SEPT7"	"SEPT2"	"SEPT6"	"SEPT5"	"SEPT9"	"SEPT8"	"SEPT11"	"CDC42EP4"	"SEPT3"	"SEPT4"	"SEPT12"	"SEPT1"	"SEPT14"	"ANLN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RRS1"	"RRS1"	"RPF2"	"EBNA1BP2"	"DKC1"	"BRIX1"	"FTSJ3"	"NOP2"	"GTPBP4"	"PES1"	"PUM3"	"NSA2"	"DDX24"	"RPL26"	"RRP15"	"NIFK"	"RPL26L1"	"LLPH"	"RBM34"	"RPL13A"	"SURF6"	"PPAN"	"NIP7"	"RPL15"	"MRTO4"	"REXO4"	"DDX31"	"DDX27"	"C7orf50"	"GNL2"	"PWP1"	"DDX56"	"RBM28"	"PAPD5"	"DDX18"	"NOC3L"	"DDX21"	"MYBBP1A"	"HP1BP3"	"RRP8"	"PAK1IP1"	"NSD2"	"ZC3HAV1"	"CCDC137"	"RSL1D1"	"ZNF512"	"NOL12"	"ZNF622"	"NVL"	"RPL17"	"GNL3"	"RSL24D1"	"GLYR1"	"ZBTB11"	"NOC2L"	"NOP56"	"DHX30"	"RPL7L1"	"NKRF"	"KNOP1"	"CCDC86"	"LIN28B"	"TTF1"	"ZNF22"	"STAU1"	"BOP1"	"ZNF668"	"KRR1"	"POP1"	"MPHOSPH10"	"UPF1"	"54865"	"RPS24"	"RPS5"	"RPS13"	"LARP1"	"RRP9"	"DDX50"	"ZNF771"	"IMP3"	"GZF1"	"MOV10"	"UTP23"	"MRPS22"	"GLTSCR2"	"GAR1"	"CTCF"	"BMS1"	"FYTTD1"	"UTP14A"	"RBM19"	"C8orf33"	"RRP1B"	"RPL36A"	"MYEF2"	"WDR36"	"SDAD1"	"NMNAT1"	"ZBTB24"	"CCDC59"	"SF3B2"
"RPSA"	"RPSA"	"RPS3"	"RPS15A"	"RPS2"	"RPS19"	"RPS18"	"RPL19"	"RPS8"	"RPS5"	"RPL15"	"RPL23A"	"RPS16"	"RPL7"	"RPS10"	"RPL5"	"RPS6"	"RPS15"	"RPL11"	"RPL24"	"RPS13"	"RPL8"	"RPL18A"	"RPL12"	"RPL3"	"RPL13A"	"RPL21"	"RPS14"	"RPL23"	"RPL14"	"RPL10A"	"RPL10"	"RPL9P7"	"RPS9"	"RPL37A"	"RPS23"	"RPL27"	"RPS11"	"RPS27"	"RPL4"	"RPL31"	"RPS20"	"RPS21"	"RPL18"	"RPL35"	"RPS7"	"RPL27A"	"RPS12"	"RPL36"	"RPS26"	"RPL30"	"RPS29"	"RPL7A"	"RPS27A"	"RPLP0"	"ENSG00000215472"	"RPLP2"	"RPL6"	"RPS4X"	"RPS3A"	"RPS17"	"FBL"	"RPL10L"	"TSR1"	"RPL22"	"NPM1"	"RACK1"	"RPL34"	"RPLP1"	"RPL38"	"RPL35A"	"NAT10"	"RPL39"	"PA2G4"	"SSB"	"EEF1G"	"PABPC1"	"YBX1"	"ATP5A1"	"ATP5O"	"NSUN2"	"HNRNPU"	"388524"	"NACA2"	"BTF3"	"CDR2L"	"CANX"	"RPL26"	"POR"	"ZNF622"	"SERBP1"	"NPM3"	"RPL32"	"BYSL"	"EIF1AX"	"RPS25"	"RPL13"	"EEF1B2"	"NOP10"	"DDX47"	"MPG"
