"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"RPS9"	"RPS9"	"RPS5"	"RPL3"	"RPL27A"	"RPL21"	"RPS8"	"RPS6"	"RPS3"	"RPS3A"	"RPS2"	"RPS25"	"RPS23"	"RPS19"	"RPS18"	"RPS16"	"RPS15"	"RPS15A"	"RPS14"	"RPS13"	"RPS11"	"RPLP0"	"RPL8"	"RPL7"	"RPL7A"	"RPL6"	"RPL5"	"RPL4"	"RPL37A"	"RPL36"	"RPL35"	"RPL34"	"RPL32"	"RPL31"	"RPL30"	"RPL27"	"RPL26"	"RPL26L1"	"RPL24"	"RPL23"	"RPL23A"	"RPL19"	"RPL18"	"RPL18A"	"RPL15"	"RPL14"	"RPL13"	"RPL13A"	"RPL12"	"RPL11"	"RPL10"	"RPL10A"	"RPS12"	"RPL9P7"	"RPL39"	"RPL22"	"ENSG00000215472"	"RPS27"	"RPS4X"	"RPS29"	"RPLP2"	"NPM1"	"RPL10L"	"RPS26"	"FAU"	"RPS20"	"RPL35A"	"YBX1"	"RPS27A"	"RPL38"	"HNRNPU"	"RPSA"	"EBNA1BP2"	"NCL"	"RPS7"	"RPS10"	"RACK1"	"NAP1L1"	"SLC25A5"	"RPL3L"	"IGF2BP1"	"SND1"	"TUFM"	"NAP1L4"	"G3BP1"	"PABPC1"	"HSP90AB1"	"RBM34"	"PA2G4"	"MTHFD1"	"SRP14"	"EEF2"	"NSUN2"	"EEF1A1"	"EEF1B2"	"HSP90AA1"	"NOP58"	"SRPK1"	"SERBP1"	"HNRNPC"	"SLC25A3"
"RPS8"	"RPS8"	"RPS9"	"RPS5"	"RPS3"	"RPS20"	"RPS15A"	"RPL3"	"RPL30"	"RPL27A"	"RPL21"	"RPL11"	"EBNA1BP2"	"RPS6"	"RPS3A"	"RPS2"	"RPS25"	"RPS23"	"RPS19"	"RPS18"	"RPS15"	"RPS14"	"RPS13"	"RPLP2"	"RPLP0"	"RPL9P7"	"RPL8"	"RPL7"	"RPL7A"	"RPL6"	"RPL5"	"RPL4"	"RPL37A"	"RPL36"	"RPL32"	"RPL31"	"RPL27"	"RPL26"	"RPL26L1"	"RPL24"	"RPL23"	"RPL23A"	"RPL19"	"RPL18"	"RPL18A"	"RPL15"	"RPL14"	"RPL13"	"RPL13A"	"RPL12"	"RPL10"	"RPL10A"	"RPSA"	"RPS12"	"RPL38"	"RPL35"	"RPS16"	"RPS4X"	"RPS11"	"ENSG00000215472"	"RPS7"	"RPL36AL"	"YBX1"	"RPL35A"	"RPS27"	"RPS27A"	"RPL10L"	"NPM1"	"RPS26"	"RPS10"	"RPL34"	"RPL22"	"EEF1B2"	"RACK1"	"RPL39"	"RPS27L"	"EEF1A1"	"HNRNPU"	"RPLP1"	"NCL"	"EEF2"	"IGF2BP1"	"PABPC1"	"NAT10"	"NOLC1"	"RPL3L"	"SRP14"	"UBA52"	"SRPK1"	"FAU"	"PA2G4"	"NAP1L1"	"EEF1G"	"G3BP1"	"SLC25A5"	"PWP1"	"RBM34"	"PUM3"	"RRP15"	"EIF2S1"	"TSR1"
"RPS6"	"RPS6"	"RPS9"	"RPS8"	"RPS5"	"RPS4X"	"RPS3A"	"RPS3"	"RPS25"	"RPS23"	"RPS19"	"RPS18"	"RPS15A"	"RPS14"	"RPS13"	"RPS12"	"RPS11"	"RPLP0"	"RPL8"	"RPL7A"	"RPL7"	"RPL6"	"RPL4"	"RPL37A"	"RPL36"	"RPL35"	"RPL31"	"RPL3"	"RPL27A"	"RPL27"	"RPL24"	"RPL23A"	"RPL23"	"RPL22"	"RPL21"	"RPL18A"	"RPL18"	"RPL15"	"RPL14"	"RPL13A"	"RPL13"	"RPL12"	"RPL11"	"RPL10A"	"RPL10"	"RPS2"	"RPS16"	"RPL5"	"RPL32"	"RPL19"	"RPS15"	"RPL9P7"	"RPL36AL"	"RPL30"	"ENSG00000215472"	"RPL26L1"	"RPL26"	"EBNA1BP2"	"RPS20"	"RPS26"	"NPM1"	"RPS27A"	"RPSA"	"RPL39"	"RPL34"	"RPL38"	"FAU"	"RPS29"	"RPL35A"	"RACK1"	"RPLP2"	"RPS27"	"RPS7"	"RPL3L"	"RPLP1"	"HNRNPU"	"YBX1"	"FBL"	"NAP1L1"	"RPL28"	"NCL"	"EIF2S1"	"RPS10"	"SRP14"	"RPL37"	"PA2G4"	"G3BP1"	"SLC25A5"	"ENSG00000257529"	"RPS27L"	"EEF2"	"PES1"	"NOP58"	"EEF1A1"	"NAP1L4"	"SND1"	"TUFM"	"PABPC1"	"PUM3"	"RPF2"	"MTHFD1"
"RPS5"	"RPS5"	"RPS9"	"RPS8"	"RPS6"	"RPL3"	"RPL21"	"RPS3A"	"RPS2"	"RPS18"	"RPS16"	"RPS15"	"RPS13"	"RPL8"	"RPL7"	"RPL7A"	"RPL6"	"RPL5"	"RPL37A"	"RPL36"	"RPL35"	"RPL31"	"RPL27"	"RPL24"	"RPL19"	"RPL18"	"RPL13"	"RPL10"	"RPL10A"	"RPSA"	"RPS25"	"RPL4"	"RPL23A"	"RPL18A"	"RPL11"	"RPL27A"	"RPS14"	"RPL9P7"	"ENSG00000215472"	"RPS15A"	"RPS11"	"RPS27A"	"RPS4X"	"RPS23"	"RPL30"	"RPL14"	"RPL23"	"RPS19"	"RPS26"	"RPL12"	"NPM1"	"RPS3"	"RPL22"	"KRR1"	"RPLP0"	"RPS12"	"RPS10"	"RRP12"	"UBA52"	"POP1"	"RPS7"	"RPL38"	"MYBBP1A"	"RPS20"	"GNL3"	"RPL39"	"RPL17"	"DDX24"	"DHX30"	"TSR1"	"RPS24"	"DDX21"	"FBL"	"MRTO4"	"RPLP2"	"FTSJ3"	"RSL1D1"	"GNL2"	"LARP1"	"NAT10"	"RPL35A"	"PA2G4"	"DHX57"	"FAU"	"NKRF"	"RPLP1"	"BRIX1"	"RACK1"	"SF3B2"	"DDX27"	"EIF2S1"	"RPS17"	"CCDC86"	"RPL32"	"HP1BP3"	"RBM28"	"SND1"	"NSA2"	"NOP10"	"CCDC137"	"LYAR"
"RPS4X"	"RPS4X"	"RPS6"	"RPL27A"	"RPL21"	"RPL13"	"RPL11"	"RPL10"	"RPS14"	"RPS13"	"RPL7A"	"RPL6"	"RPL36"	"RPL32"	"RPL27"	"RPL24"	"RPL23"	"RPL19"	"RPL18A"	"RPL15"	"RPS27A"	"RPS15A"	"RPL3"	"RPLP0"	"RPL9P7"	"RPL7"	"RPL5"	"RPL37A"	"RPL35"	"RPL31"	"RPL10A"	"RPS3A"	"RPL14"	"RPS19"	"RPS9"	"RPS8"	"RPS5"	"RPS23"	"RPL8"	"RPS12"	"RPL13A"	"RPL23A"	"RPS2"	"RPL38"	"RPL18"	"RPS3"	"RPL30"	"RPL4"	"RPS27"	"RPL12"	"RPS25"	"RPS18"	"RPS16"	"RPL35A"	"ENSG00000215472"	"RPLP2"	"RPS20"	"RPS11"	"RPLP1"	"RPS26"	"RPL10L"	"HNRNPU"	"RPL26"	"RPL36AL"	"UBA52"	"RPS27L"	"RPL37"	"RPL22"	"RPL39"	"RPS10"	"NPM1"	"FAU"	"RPS7"	"RPSA"	"EEF1A1"	"PES1"	"EBNA1BP2"	"SRPK1"	"TUFM"	"EEF1B2"	"EEF2"	"PA2G4"	"RPL29"	"RPF2"	"RACK1"	"FBL"	"HNRNPC"	"TSR1"	"G3BP1"	"PUM3"	"EIF2S1"	"NOL6"	"NOP58"	"MTHFD1"	"RRP15"	"NCL"	"NOP10"	"SUPT16H"	"SERBP1"	"HIST1H1C"	"EIF5B"
"RPS3"	"RPS3"	"RPSA"	"RPS8"	"RPS6"	"RPS9"	"RPL3"	"RPL27A"	"RPL21"	"RPS3A"	"RPS2"	"RPS19"	"RPS18"	"RPS16"	"RPS15"	"RPS13"	"RPL8"	"RPL7"	"RPL7A"	"RPL6"	"RPL5"	"RPL37A"	"RPL35"	"RPL32"	"RPL27"	"RPL23A"	"RPL19"	"RPL18A"	"RPL15"	"RPL13"	"RPL13A"	"RPL11"	"RPL10"	"ENSG00000215472"	"RPS12"	"RPL4"	"RPL36"	"RPL24"	"RPL14"	"RPS23"	"RPL31"	"RPL23"	"RPL18"	"RPL10A"	"RPS15A"	"RPL38"	"RPL22"	"RPL10L"	"RPS11"	"RPL35A"	"RPL34"	"RPS4X"	"RPS25"	"RPL30"	"RPS27A"	"EIF1AX"	"RPS5"	"RPS26"	"RPL12"	"RPS29"	"RPL9P7"	"RPL26"	"RPLP0"	"RPS7"	"YBX1"	"BTF3"	"NPM1"	"RPL37"	"RPLP2"	"RPS20"	"RPS10"	"UBA52"	"SND1"	"FAU"	"RPS14"	"PA2G4"	"PES1"	"NACA2"	"RPLP1"	"EIF2S1"	"RPS27"	"ZNF622"	"G3BP1"	"HNRNPU"	"RACK1"	"SLC25A5"	"TSR1"	"TUFM"	"NOP10"	"SERBP1"	"NAT10"	"RPF2"	"ATP5C1"	"PUM3"	"CANX"	"ATP5A1"	"EEF2"	"PABPC1"	"HSP90AA1"	"HSP90AB1"	"MEPCE"
"RPS3A"	"RPS3A"	"RPS6"	"RPS9"	"RPS8"	"RPS5"	"RPS3"	"RPS15A"	"RPLP2"	"RPL3"	"RPL30"	"RPL27A"	"RPL21"	"RPL11"	"RPS2"	"RPS23"	"RPS19"	"RPS18"	"RPS16"	"RPS15"	"RPS14"	"RPS13"	"RPLP0"	"RPL8"	"RPL7"	"RPL7A"	"RPL6"	"RPL5"	"RPL4"	"RPL38"	"RPL37A"	"RPL36"	"RPL35"	"RPL32"	"RPL31"	"RPL27"	"RPL26"	"RPL24"	"RPL23"	"RPL23A"	"RPL19"	"RPL18"	"RPL18A"	"RPL15"	"RPL14"	"RPL13"	"RPL13A"	"RPL10"	"RPL10A"	"ENSG00000215472"	"RPS20"	"EBNA1BP2"	"RPS11"	"RPL34"	"YBX1"	"RPS4X"	"RPF2"	"RPS12"	"RPL9P7"	"RPL12"	"RPL22"	"RPL10L"	"RPL35A"	"NPM1"	"RPS27A"	"RPS25"	"HNRNPU"	"RPS27"	"RPS26"	"RPS7"	"PES1"	"RPL28"	"RPS10"	"FAU"	"HSP90AB1"	"TSR1"	"PUM3"	"EIF1AX"	"RBM34"	"RPL26L1"	"RPL39"	"NCL"	"RPS27L"	"RPLP1"	"HSP90AA1"	"PWP1"	"UBA52"	"EEF1B2"	"PA2G4"	"RPSA"	"NAP1L1"	"RACK1"	"HNRNPC"	"NOP58"	"SLC25A5"	"EEF1A1"	"SRP14"	"RRP15"	"PABPC1"	"SND1"	"HIST1H1B"
"RPS2"	"RPS2"	"RPSA"	"RPS9"	"RPS8"	"RPS6"	"RPS5"	"RPS3A"	"RPS3"	"RPS25"	"RPS20"	"RPS19"	"RPS18"	"RPS15A"	"RPS14"	"RPS13"	"RPS12"	"RPS11"	"RPS10"	"RPL9P7"	"RPL8"	"RPL7"	"RPL6"	"RPL4"	"RPL37A"	"RPL35"	"RPL32"	"RPL31"	"RPL3"	"RPL27A"	"RPL27"	"RPL24"	"RPL23A"	"RPL23"	"RPL21"	"RPL19"	"RPL18A"	"RPL18"	"RPL15"	"RPL14"	"RPL13A"	"RPL13"	"RPL11"	"RPL10A"	"RPL10"	"ENSG00000215472"	"RPL5"	"RPLP0"	"RPL7A"	"RPL12"	"RPL10L"	"RPS7"	"RPL22"	"RPL36"	"RPS4X"	"RPS27A"	"RPL38"	"RPL30"	"RACK1"	"YBX1"	"TSR1"	"ENSG00000184779"	"HNRNPU"	"RPS15"	"RPS29"	"RPLP2"	"RPL36AL"	"SRP14"	"RPS27"	"RPL35A"	"NAT10"	"RPS23"	"NCL"	"RPS16"	"RPL39"	"RPLP1"	"PA2G4"	"NPM1"	"EEF1B2"	"EEF1A1"	"RPL34"	"RPS17"	"TUFM"	"SERBP1"	"SND1"	"EEF2"	"UBA52"	"DIMT1"	"EIF2S1"	"SLC25A5"	"NOL6"	"RPS26"	"ZNF622"	"NOP58"	"NAP1L1"	"G3BP1"	"EBNA1BP2"	"RPL3L"	"SRPK1"	"PABPC1"	"RPL26"
"RPS26"	"RPS26"	"RPL8"	"RPL35"	"RPL24"	"RPL7A"	"RPL37A"	"RPL36"	"RPL13"	"RPL27A"	"RPL21"	"RPL18A"	"RPL10"	"RPL3"	"RPL18"	"RPL36AL"	"RPL27"	"RPS6"	"RPL6"	"RPL14"	"RPS11"	"RPL15"	"RPL30"	"RPL32"	"RPL31"	"ENSG00000215472"	"RPL5"	"RPL10A"	"RPS13"	"RPS5"	"RPS27A"	"RPS9"	"RPS8"	"RPL34"	"RPL23"	"RPL22"	"RPS4X"	"RPL10L"	"RPS3A"	"RPL23A"	"RPL26L1"	"RPS23"	"RPLP2"	"RPLP0"	"RPS14"	"RPL4"	"RPL12"	"RPS15A"	"RPS18"	"RPS3"	"RPL19"	"RPL7"	"RPL3L"	"RPL26"	"RPS16"	"RPS20"	"RPL9P7"	"RPLP1"	"RPS25"	"RPL38"	"ENSG00000184779"	"RPSA"	"RPL11"	"RPS7"	"RPL13A"	"RPL37"	"SLC25A5"	"RPS19"	"SLC25A6"	"FAU"	"RPS2"	"RPS29"	"PA2G4"	"BTF3"	"EIF1AX"	"EIF1AY"	"RPS12"	"EEF2"	"ATP5C1"	"RPL39"	"IMP3"	"NSA2"	"DDX56"	"CCDC137"	"RPS10"	"HIST1H1A"	"GRWD1"	"RPF1"	"EEF1B2"	"SRPK1"	"EBNA1BP2"	"DHX30"	"TUFM"	"GZF1"	"STAU1"	"MYH7B"	"NOL12"	"DDX24"	"POP1"	"LLPH"	"GAR1"
"RPS25"	"RPS25"	"RPS6"	"RPS2"	"RPS9"	"RPS8"	"RPS15A"	"RPL30"	"RPL27A"	"RPL10"	"RPS23"	"RPS18"	"RPS13"	"RPL9P7"	"RPL8"	"RPL7"	"RPL7A"	"RPL6"	"RPL36"	"RPL35"	"RPL27"	"RPL24"	"RPL23"	"RPL23A"	"RPL19"	"RPL13"	"RPL10A"	"RPS5"	"RPS27A"	"RPLP2"	"RPL3"	"RPL21"	"RPS14"	"RPLP0"	"RPL5"	"RPL31"	"RPL37A"	"RPL18A"	"RPL4"	"RPL11"	"RPS15"	"RPL32"	"ENSG00000215472"	"RPL12"	"RPS20"	"RPS12"	"RPL14"	"RPL38"	"RPL18"	"RPL13A"	"RPS16"	"RPS3"	"RPL15"	"RPS19"	"RPS4X"	"RPS7"	"RPS11"	"RPS3A"	"RPLP1"	"FAU"	"RPL22"	"RPL34"	"HNRNPU"	"RPL35A"	"RPS27"	"YBX1"	"RPS26"	"RPL26"	"RPL39"	"RPS10"	"NPM1"	"RACK1"	"EIF1AX"	"RRP15"	"RPS27L"	"EBNA1BP2"	"UBA52"	"EEF1B2"	"NOP10"	"RPL28"	"RPF2"	"RPL3L"	"PA2G4"	"SND1"	"RPL29"	"NCL"	"G3BP1"	"HADHA"	"SLC25A5"	"PES1"	"HIST1H1C"	"RRBP1"	"BTF3"	"TUFM"	"TSR1"	"NOL6"	"EEF2"	"SERBP1"	"EIF2S1"	"ATP5A1"	"DDX47"
