DrugID_ChEMBL	PCID
chembl175	39912
chembl612	5826
chembl52440	5360696
chembl41286	26248
chembl12	3016
chembl181	3019
chembl139	3033
chembl1500	5359421
chembl1201262	3105
chembl517	3114
chembl92	148124
chembl367149	445580
chembl59	681
chembl108947	5282426
chembl707	3157
chembl860	667477
chembl184412	208898
chembl2103827	92974
chembl1752	3182
chembl1201575	NA
chembl1510	77993
chembl6246	5281855
chembl1257	3226
chembl279898	1676
chembl609728	5276854
chembl1106	3241
chembl679	5816
chembl96172	447865
chembl442	8223
chembl1508	146570
chembl1366933	3085218
chembl285674	3261
chembl1522	969472
chembl1201572	NA
chembl545	702
chembl591	5281077
chembl1289779	3307
chembl681	667484
chembl464	5282375
chembl10118	446845
chembl69330	445713
chembl1480	3333
chembl588	3341
chembl1201764	6918558
chembl1232653	643975
chembl13291	3369
chembl407	3373
chembl13280	3380
chembl54661	5281881
chembl968	3393
chembl116736	284
chembl940	3446
chembl659	9651
chembl1568698	6918305
chembl44793	6450546
chembl1201506	NA
chembl44	5280961
chembl76232	23327
chembl1543	124886
chembl1102	3487
chembl472	3488
chembl692	753
chembl773	750
chembl384759	8977
chembl283807	6804
chembl1233147	6830
chembl970	31640
chembl54	3559
chembl931	3562
chembl468837	10518
chembl7728	3608
chembl1200851	10429215
chembl1697748	3084050
chembl435	3639
chembl1763	3647
chembl2103737	45357193
chembl1201606	74890578
chembl19449	3671
chembl521	3672
chembl533	60753
chembl460026	446284
chembl14376	71360
chembl494	5311181
chembl941	5291
chembl540	795
chembl11	3696
chembl216543	5326739
chembl6	3715
chembl23552	107758
chembl1201540	118984375
chembl1201539	16131099
chembl1201544	105075
chembl1256	3763
chembl434	3779
chembl582	3776
chembl1648	3784
chembl742	3821
chembl2104356	33746
chembl47072	10101
chembl279597	5950
chembl1485	6322
chembl58832	6267
chembl274323	5960
chembl1149	10917
chembl444814	9750
chembl863	5862
chembl1233584	6306
chembl291962	6106
chembl8085	5962
chembl42336	6137
chembl301523	6140
chembl54922	145742
chembl11298	5951
chembl429	3869
chembl108766	3893
chembl1233973	15433
chembl1289601	9823820
chembl1009	6047
chembl15891	727
chembl157138	28864
chembl841	3955
chembl580	3958
chembl831	3964
chembl1237021	213046
chembl1200691	8896
chembl1200736	11029
chembl1200456	16211255
chembl21731	4011
chembl279785	119031
chembl509	4037
chembl45	896
chembl807	4054
chembl590	4055
chembl1200996	5702236
chembl979	4064
chembl704	4075
chembl651	4095
chembl1200952	66124
chembl450	4099
chembl1764	72287
chembl1341	4116
chembl230001	3034285
chembl45029	8271
chembl1200790	4162
chembl1065	9681
chembl1201342	4167
chembl6437	4184
chembl45816	60663
chembl91	4189
chembl655	4192
chembl608533	9829523
chembl252923	65833
chembl278819	4199
chembl1434	54675783
chembl654	4205
chembl126506	26175
chembl1201608	NA
chembl111077	11005
chembl62136	447912
chembl1234621	444885
chembl447878	24139
chembl273264	4413
chembl80	5284596
chembl1201607	NA
chembl746	50294
chembl623	4449
chembl1484	4474
chembl3	89594
chembl193	4485
chembl63323	4488
chembl517427	4494
chembl1428	4497
chembl502835	9809715
chembl1726	4499
chembl13209	4506
chembl475534	4507
chembl273575	4528
chembl1437	439260
chembl445	4543
chembl715	4585
chembl1719	5281071
chembl46	4595
chembl446143	6262
chembl900	4601
chembl568	4616
chembl190	2153
chembl656	5284603
chembl762	4636
chembl428647	36314
chembl1201821	NA
chembl1621	115237
chembl1201586	NA
chembl82293	985
chembl483254	6918837
chembl490	43815
chembl94657	448013
chembl477772	10113978
chembl448	4737
chembl628	4740
chembl531	47811
chembl1472975	115368
chembl607	4058
chembl1089	3675
chembl40	4763
chembl753	4768
chembl1574	4771
chembl61006	4786
chembl397976	7405
chembl1171837	24826799
chembl1200731	4873
chembl301265	119570
chembl21333	4887
chembl90593	5881
chembl969	4890
chembl2	4893
chembl856	4909
chembl569	4914
chembl103	5994
chembl564	4926
chembl643	4927
chembl1201210	4940
chembl526	4943
chembl27	4946
chembl1590	7028
chembl469912	439530
chembl23254	448991
chembl82202	1051
chembl1162144	1060
chembl1200472	4999
chembl50	5280343
chembl716	5002
chembl1532	6307
chembl1946170	11167602
chembl22242	54477
chembl1643	37542
chembl1201794	643976
chembl374478	5458213
chembl85	5073
chembl1201576	NA
chembl589	5095
chembl1303	59227
chembl418052	439155
chembl345292	97536
chembl1201670	NA
chembl569713	3000322
chembl447	5193
chembl12713	60149
chembl2104895	5205
chembl1200694	5206
chembl1734	154059
chembl1336	216239
chembl1393	5833
chembl388978	44259
chembl1983350	5311454
chembl576	1110
chembl2029132	70789197
chembl421	5353980
chembl15770	1548887
chembl535	5329102
chembl265502	5361
chembl1200802	8275
chembl83	2733526
chembl1201776	9838022
chembl967	5391
chembl2108791	NA
chembl279676	62751
chembl611	5401
chembl17157	5405
chembl2021342	91443
chembl468	5426
chembl213907	9915886
chembl441	3000715
chembl609109	9429
chembl479	5452
chembl84158	5467
chembl770	5504
chembl1382	443879
chembl220492	5284627
chembl1201604	NA
chembl1066	33741
chembl132767	5531
chembl1201585	NA
chembl621	5533
chembl38	444795
chembl646	5556
chembl1054	5560
chembl422	5566
chembl570	5568
chembl1490	5572
chembl190044	5573
chembl644	5584
chembl408	5591
chembl1200391	6503
chembl1236595	5280346
chembl1187833	11519070
chembl130266	6031
chembl214393	6030
chembl1201420	NA
chembl109	3121
chembl24828	3081361
chembl1396	170361
chembl1280	62969
chembl159	13342
chembl986	445354
chembl196	54670067
chembl47	14985
chembl98	5311
chembl2104993	9966051
chembl312448	5709
chembl15245	8969
chembl708	60854
chembl750	5734
chembl135400	5735
chembl53904	5311507
chembl3545057	5284512
chembl2106580	6918580
chembl495	5280723
chembl660	2130
chembl354077	5918
chembl1289926	6450551
chembl278172	2337
chembl218394	10324367
chembl325041	387447
chembl1742994	NA
chembl2104089	21850
chembl1201748	9854073
chembl2103868	25102846
chembl790	9552079
chembl1200434	656652
chembl160	5284373
chembl1729	2769
chembl601719	11626560
chembl1134	2968
chembl1614	28620
chembl1751	2724385
chembl548	5280360
chembl932	3108
chembl1683544	17755248
chembl553	176870
chembl87992	179344
chembl1095	3292
chembl18	3295
chembl1493	3354
chembl23588	3371
chembl1201766	3038498
chembl888	60750
chembl1201027	11693
chembl821	3520
chembl1201752	6445540
chembl741	3878
chembl79	3676
chembl686	4044
chembl861	4060
chembl1087	4062
chembl1431	4091
chembl1201264	4097
chembl86	4168
chembl558	4178
chembl255863	644241
chembl1680	448601
chembl175247	3034010
chembl225072	446556
chembl1242	4756
chembl597	5775
chembl16	1775
chembl61	10607
chembl640	4913
chembl1294	441074
chembl1201352	5311399
chembl343448	5352062
chembl1077896	175805
chembl1173055	9931954
chembl1201754	129228
chembl413	5284616
chembl1823872	16129706
chembl703	5314
chembl269732	445643
chembl231813	3010818
chembl698	5411
chembl1266	5419
chembl440	3032285
chembl1762	38945
chembl221959	9926791
chembl1743082	NA
chembl1200789	23677832
chembl1687	9917490
chembl90555	5978
chembl2110725	10629256
chembl553025	5311497
chembl1521	5719
chembl911	5732
chembl574737	3078519
chembl76897	1734
chembl3545358	44467821
chembl8165	1833
chembl56	1220
chembl379300	10172943
chembl3301610	46220502
chembl2103863	11749858
chembl3707348	71226662
chembl2068724	155434
chembl1566	444254
chembl112	1983
chembl539	176
chembl1589	1989
chembl667	187
chembl477	60961
chembl14830	6022
chembl587723	10297043
chembl3545165	10188853
chembl1173655	10184653
chembl1742982	NA
chembl10878	82148
chembl1201451	NA
chembl1738797	49806720
chembl2396661	56649450
chembl1201454	62816
chembl3545365	54576299
chembl1569	64150
chembl3545212	44181686
chembl2140408	24856041
chembl1006	2141
chembl488	2145
chembl633	2157
chembl3707374	67418070
chembl1096	2161
chembl267345	118705500
chembl43	2179
chembl1201570	NA
chembl15848	5281969
chembl1399	2187
chembl274826	2193
chembl3545021	25017411
chembl1513985	2201
chembl606111	46874763
chembl1922094	25254071
chembl15594	444899
chembl128365	2229
chembl3545421	46834118
chembl3545422	53262401
chembl1200819	32169
chembl3707249	117587641
chembl2108989	NA
chembl3544960	24905401
chembl445813	11338033
chembl495727	11496629
chembl593430	9794485
chembl24	2249
chembl3707227	NA
chembl1487	60823
chembl1360	47319
chembl1200527	47320
chembl2146146	12310714
chembl3545351	173480
chembl1090771	46883536
chembl1489	9444
chembl1976040	24856436
chembl3184679	57430866
chembl2178577	71451877
chembl488436	16747683
chembl2165191	44137675
chembl1801204	25262965
chembl3545424	52913813
chembl3545169	15605092
chembl3707355	NA
chembl529	447043
chembl701	2284
chembl60254	5287736
chembl1762621	400769
chembl3545049	70817911
chembl2107735	154082
chembl1200500	21700
chembl463981	11269353
chembl2105926	184841
chembl1200654	6420040
chembl1374379	7699
chembl1200383	3246155
chembl1200382	91725
chembl632	9782
chembl423	2369
chembl1023	82146
chembl3545246	89670174
chembl3545096	57336745
chembl513909	11364421
chembl409	2375
chembl1161632	767
chembl417990	10237
chembl218166	208951
chembl3187723	10288191
chembl131921	5280373
chembl1101	2381
chembl403664	5460769
chembl1742992	NA
chembl3545396	11349170
chembl575448	24785538
chembl460702	24794418
chembl366947	107926
chembl3545311	68165256
chembl220491	68844
chembl377300	11234052
chembl270995	11154925
chembl534232	3654103
chembl60851	6227
chembl501756	442021
chembl449158	5280757
chembl2017974	16654980
chembl2364604	66577015
chembl1098	2474
chembl820	2478
chembl1200982	23695352
chembl14227	264
chembl1609891	21157
chembl577784	10077147
chembl2109588	6102758
chembl1200569	6241
chembl359713	44388547
chembl846	5280453
chembl65	24360
chembl1200647	10079874
chembl190461	644019
chembl1773	60953
chembl2027925	9805719
chembl294199	1548943
chembl1560	44093
chembl148319	5311242
chembl108	2554
chembl499915	636403
chembl1351	38904
chembl839	2583
chembl1201167	9827459
chembl3545151	58298316
chembl491473	9933475
chembl118	2662
chembl2010872	11751922
chembl290352	9917013
chembl3545332	9831755
chembl3545284	44595079
chembl2403108	57379345
chembl514138	9888897
chembl19732	104916
chembl100014	60748
chembl1081312	24905142
chembl1086377	11964036
chembl11348	1328
chembl116590	2344
chembl1179605	105074
chembl1188853	127912
chembl1213492	9804992
chembl1229592	44607530
chembl1231206	44631903
chembl1233686	8583
chembl1236539	72271
chembl1255588	37461
chembl1255648	2890
chembl1256682	3603
chembl139677	44358908
chembl157769	9895647
chembl1628262	25886893
chembl1628667	24768606
chembl169233	1598
chembl175543	11248240
chembl1765740	46215815
chembl1801250	49857317
chembl1802728	10202471
chembl1851943	49855250
chembl191482	6918848
chembl197194	9820008
chembl20963	3292447
chembl225155	5283560
chembl23094	20039
chembl247471	11249248
chembl266591	1574
chembl267615	6918513
chembl270497	2615
chembl274866	4296
chembl277120	1342
chembl27885	6443223
chembl279453	119357
chembl306380	1400
chembl313417	5228
chembl3186179	18971832
chembl3186227	8121
chembl3186849	24770514
chembl334533	107778
chembl34155	4838
chembl343357	11122452
chembl343796	44358893
chembl34453	104766
chembl35482	4713
chembl357834	16219283
chembl376408	11228183
chembl387187	9549299
chembl395336	24316
chembl411250	44357137
chembl432038	9819927
chembl435278	1517
chembl442494	NA
chembl458997	9934347
chembl480558	11358855
chembl50267	1779
chembl524266	16757525
chembl580785	13497285
chembl605003	5312137
chembl65280	9868452
chembl70176	4368
chembl7318	6918515
chembl99521	10426487
chembl99951	2387
chembl515	2708
chembl1200703	9916
chembl478	1355
chembl944	441348
chembl842	2720
chembl1713	6240
chembl498	2727
chembl1055	2732
chembl2303614	71720239
chembl105442	6918454
chembl429876	176873
chembl2108239	NA
chembl799	2754
chembl30	2756
chembl1200641	62886
chembl1386	NA
chembl1741	84029
chembl1237132	153994
chembl1750	119182
chembl565	2796
chembl2220404	20838637
chembl2096631	23706210
chembl104	2812
chembl41306	192711
chembl2146883	16222096
chembl87	2833
chembl2108709	NA
chembl3218576	24989044
chembl305686	6303
chembl1201609	16132265
chembl2448526	44565227
chembl3545300	NA
chembl2105728	10366136
chembl484785	44591583
chembl2103852	23649181
chembl598797	24756910
chembl3545052	54575456
chembl116438	969516
chembl1201338	2905
chembl88	2907
chembl61593	2910
chembl803	6253
chembl2105729	44516822
chembl476	5351166
chembl356066	6445533
chembl2110732	11511120
chembl1554	457193
chembl1879463	11977753
chembl8145	5281708
chembl402548	11442891
chembl2103803	46174144
chembl2103869	51049972
chembl178	30323
chembl2103826	9832404
chembl169901	2966
chembl1201129	451668
chembl556	2973
chembl2110814	156421
chembl1201550	NA
chembl1200515	8550
chembl1118	125017
chembl384467	5743
chembl2108952	NA
chembl2109621	NA
chembl1466	54676038
chembl1460	50599
chembl411	448537
chembl254219	441207
chembl1732	10531
chembl504	679
chembl2103840	46926350
chembl815	5280363
chembl936	3055
chembl1200833	71486
chembl1201020	30928
chembl964	3117
chembl961	8987
chembl3545252	148123
chembl473	71329
chembl2368924	6918119
chembl1742428	197706
chembl103667	156422
chembl478629	11524144
chembl218490	5284549
chembl1492500	5284550
chembl522892	9977819
chembl1237099	60168
chembl53463	31703
chembl1433	54671203
chembl487	3033767
chembl1201729	219025
chembl1108	3168
chembl3545248	NA
chembl1175	60835
chembl3301587	NA
chembl3039502	50905713
chembl1200478	68304
chembl1097999	10172827
chembl290916	4021
chembl1104	3202
chembl29919	9926001
chembl197672	12000240
chembl578	5388962
chembl3301612	50922675
chembl482968	16041424
chembl52885	5327686
chembl1201685	772
chembl27759	4261
chembl1983268	25141092
chembl300138	176167
chembl297453	65064
chembl1256958	6852374
chembl417	41867
chembl1201565	NA
chembl2109092	NA
chembl2311030	71717894
chembl2062265	16051995
chembl476186	11634458
chembl2105737	24775005
chembl532	12560
chembl395091	182137
chembl2364609	44632368
chembl315985	9881504
chembl2107339	6451144
chembl135	5757
chembl282575	222757
chembl1201649	NA
chembl1405	5870
chembl356388	3277
chembl456	3278
chembl16264	3283
chembl691	5991
chembl167667	12967
chembl1200597	9796823
chembl871	3305
chembl1823681	170345
chembl44657	36462
chembl1908360	6442177
chembl1200374	60198
chembl41355	121892
chembl9298	59693
chembl3545026	16662431
chembl902	5353622
chembl38380	3547
chembl1287853	16722836
chembl1094	3331
chembl672	3339
chembl7301	5288209
chembl596	3345
chembl1201567	NA
chembl710	57363
chembl544665	107969
chembl1200875	441345
chembl231068	6918248
chembl266510	214350
chembl917	5790
chembl1568	657237
chembl30008	941361
chembl989	6215
chembl185	3385
chembl41	3386
chembl726	3372
chembl1200602	37368
chembl563	3394
chembl46516	3396
chembl806	3397
chembl1473	444036
chembl1622	6037
chembl1230609	42642645
chembl289351	6918309
chembl2105643	10186184
chembl919	56338
chembl1358	104741
chembl35	3440
chembl1628502	9883933
chembl32503	107896
chembl312443	3448
chembl1200571	6918204
chembl1200993	6172
chembl1200983	61635
chembl182	3454
chembl2103879	23624255
chembl2108463	6850761
chembl592445	44516953
chembl939	123631
chembl278315	5288382
chembl1637	60749
chembl457	3463
chembl329592	3467
chembl2108466	NA
chembl1481	3476
chembl1073	3478
chembl266481	44278361
chembl2107143	123628
chembl930	5961
chembl1201335	11693
chembl441687	14982
chembl1201509	NA
chembl51483	3503
chembl15928	107780
chembl289469	3510
chembl3544966	23582824
chembl3188551	56949517
chembl494089	16725726
chembl1200728	5742
chembl1207366	10303232
chembl1197091	62894
chembl1201513	772
chembl479533	6436247
chembl291481	3616
chembl1200715	102426
chembl277642	6436265
chembl1231821	313
chembl389621	5754
chembl71595	784
chembl537	785
chembl1200705	9377
chembl1535	3652
chembl467	3657
chembl1873475	24821094
chembl2216870	11625818
chembl1957038	219100
chembl1024	3690
chembl19611	132519
chembl1980297	46207586
chembl2103836	10236037
chembl1642	123596
chembl3707400	10192617
chembl1200341	52194
chembl49642	2929
chembl155625	3712
chembl1852688	53235510
chembl1201581	NA
chembl1863513	6918670
chembl3545056	45375953
chembl1222251	892
chembl2108508	NA
chembl1201558	71306834
chembl2108510	NA
chembl1201562	NA
chembl1201564	NA
chembl1743032	NA
chembl501617	6912226
chembl2177390	24788740
chembl1789844	NA
chembl1464005	657308
chembl29741	3038472
chembl1513	3749
chembl481	60838
chembl366460	72304
chembl39071	3765
chembl279998	3773
chembl6622	6883
chembl1311	27661
chembl547	5282379
chembl3545044	118753632
chembl22587	55283
chembl3545432	56844015
chembl3545133	11952856
chembl3545376	67462786
chembl281948	3035817
chembl1714	15851
chembl51	3822
chembl75	456201
chembl571	3825
chembl222838	6992039
chembl1200323	71412
chembl58323	219078
chembl417016	6134
chembl141	3877
chembl2107647	3038485
chembl1201185	6918011
chembl480	3883
chembl554	208908
chembl589390	197033
chembl848	216326
chembl175105	9932888
chembl1444	3902
chembl1679	6006
chembl1286	5284583
chembl1624	5819
chembl552212	11351021
chembl1200409	16219577
chembl223360	11485656
chembl267476	5280450
chembl1091644	11640390
chembl1201119	23666110
chembl1234004	28486
chembl298734	148195
chembl998	3957
chembl3707317	12004146
chembl3286830	71731823
chembl503	53232
chembl1201060	71400
chembl2220486	25031915
chembl3545134	NA
chembl3545264	66646528
chembl98350	3973
chembl3545195	71721540
chembl3544999	57519748
chembl501174	446925
chembl263881	5761
chembl2146125	5462224
chembl689	6251
chembl371405	11347535
chembl1908391	10074640
chembl3545320	68026984
chembl180570	16124
chembl717	6279
chembl1201139	11683
chembl1328898	23497
chembl852	460612
chembl1699	181458
chembl1200440	66070
chembl1425	667490
chembl1200443	45195
chembl1088	4078
chembl12314	68848
chembl1201319	5906
chembl19215	28693
chembl1703	14219
chembl19	4100
chembl1515	1349907
chembl27673	4108
chembl30219	24834059
chembl34259	126941
chembl1236582	8163
chembl191083	4139
chembl1201356	8226
chembl796	4158
chembl650	6741
chembl93240	4106
chembl1739	24244
chembl1200606	21467
chembl254760	24901704
chembl1200420	43032
chembl1276308	55245
chembl564829	16718576
chembl189	4197
chembl125	3599
chembl802	4201
chembl105	5746
chembl58	4212
chembl984	5281080
chembl1079175	24964624
chembl1822792	44137946
chembl272980	9865515
chembl1373	4236
chembl146506	5467732
chembl1078178	25062766
chembl1200334	34632
chembl70	5288826
chembl572881	11667893
chembl3544910	12047567
chembl3545003	NA
chembl273481	4266
chembl1456	5281078
chembl866	446541
chembl288958	12699
chembl1443	8982
chembl19019	5360515
chembl1200412	229455
chembl1706	4436
chembl16293	931
chembl154	156391
chembl1278	4440
chembl443684	24978538
chembl1255840	3074827
chembl2106798	11425584
chembl180022	9915743
chembl2107762	3081185
chembl573	938
chembl56367	4495
chembl3039504	9809714
chembl1094636	24958200
chembl1770916	46224413
chembl1200689	145068
chembl730	4510
chembl2108738	NA
chembl3545209	NA
chembl1356607	11957447
chembl52	4534
chembl1162	6230
chembl3545230	71249967
chembl3545135	68026984
chembl252164	10096043
chembl3545207	NA
chembl2107358	16681698
chembl2104619	71351
chembl2105199	216456
chembl2095222	NA
chembl26215	957
chembl1200480	6917964
chembl4	4583
chembl1201741	12085238
chembl521686	23725625
chembl3545254	76971721
chembl1800955	11689883
chembl1503	4594
chembl1236962	25167777
chembl2103884	25067547
chembl274654	5329099
chembl1201023	9568
chembl1200395	83823
chembl3120215	44224160
chembl1614710	9868037
chembl3353410	71496458
chembl17045	107867
chembl414804	6857599
chembl1068	34312
chembl1231	4634
chembl1200791	66259
chembl395429	439302
chembl1684984	49784945
chembl2108628	NA
chembl189963	5330286
chembl834	4674
chembl1200757	27350
chembl1201827	NA
chembl3545368	23725423
chembl3545322	56947515
chembl19224	4680
chembl2103832	6918525
chembl1201733	11525740
chembl507361	9826528
chembl189584	1401
chembl3301576	NA
chembl2364654	NA
chembl1430	5852
chembl1126	23668834
chembl971	14075609
chembl1201516	NA
chembl61511	38347
chembl1275	47811
chembl567	4748
chembl3545297	24765037
chembl3545137	23402305
chembl1234354	25033539
chembl3707402	76287260
chembl450786	10461815
chembl1230607	46191454
chembl918	4753
chembl1201022	8691
chembl1201208	4762
chembl828	7108
chembl1200787	5284441
chembl1465	54680692
chembl1200873	91430
chembl1215	6041
chembl263376	676454
chembl1611	23679632
chembl279115	27924
chembl573339	9884685
chembl1908342	57402144
chembl47244	442292
chembl521851	17755052
chembl3218575	1893730
chembl550	5910
chembl2107832	44187362
chembl1423	16362
chembl500	4828
chembl595	4829
chembl440294	4830
chembl1200722	65332
chembl9967	4848
chembl1256391	40632
chembl1371770	4850
chembl527	54676228
chembl1096380	9949641
chembl3545158	25151352
chembl1230020	24180719
chembl1201478	174
chembl3545154	25127713
chembl1201669	NA
chembl1201772	6918456
chembl690	16759173
chembl131	5755
chembl635	5865
chembl1059	5486971
chembl77462	5702134
chembl3544911	46700756
chembl1194	4906
chembl1200586	92163
chembl75094	466151
chembl897	4911
chembl605	66068
chembl1200841	5795
chembl1321	4915
chembl728	4917
chembl631	4932
chembl1201063	36708
chembl1196	4935
chembl1200464	517321
chembl1769	11078
chembl1213351	10100
chembl1518	657298
chembl668	4976
chembl37390	4977
chembl1643880	154104
chembl3545088	NA
chembl3545006	NA
chembl614	1046
chembl36	4993
chembl353581	4996
chembl1200437	94328
chembl1201486	64641
chembl3707183	656862
chembl240773	54562
chembl12980	23056
chembl2105763	11538455
chembl576982	24889392
chembl1219	5029
chembl2107771	5745207
chembl81	5035
chembl225071	104758
chembl512	3001055
chembl1200549	5311398
chembl3544917	14539800
chembl3559672	NA
chembl10347	643606
chembl3121849	52918888
chembl2219421	9884220
chembl2138601	15985330
chembl2109383	NA
chembl2107881	NA
chembl159825	44374544
chembl2107801	9862502
chembl772	5770
chembl165	445154
chembl1980391	11610113
chembl384304	6918852
chembl3545324	NA
chembl3544952	10380472
chembl3545083	11285002
chembl3545110	44631912
chembl2364628	53340666
chembl1241855	6918736
chembl744	5070
chembl2107834	11304743
chembl267777	5074
chembl163	392622
chembl905	5078
chembl1614766	11548630
chembl1200648	441351
chembl122	5090
chembl63	5092
chembl52333	64627
chembl3544942	45380979
chembl1889140	175804
chembl121	77999
chembl431367	219050
chembl1214185	6915744
chembl18785	108029
chembl91829	153999
chembl2068405	NA
chembl226335	5280805
chembl1789941	25126798
chembl48582	131682
chembl2304041	11284169
chembl424	338
chembl217092	10302451
chembl281350	3378093
chembl14460	443391
chembl62	3036864
chembl96051	5186
chembl1232164	5192
chembl1200903	14148199
chembl14762	160355
chembl1614701	10127622
chembl3545042	45381907
chembl520733	9843750
chembl2107779	5745214
chembl276711	5329098
chembl3137348	5799
chembl39	5202
chembl2326966	66577114
chembl1952329	24795070
chembl1230165	24748573
chembl1064	54454
chembl62381	104775
chembl1200574	5234
chembl1746	5258
chembl411907	9849735
chembl1200485	406563
chembl565612	10296883
chembl1201485	NA
chembl267930	5265
chembl300555	5268
chembl27769	10635
chembl991	18283
chembl1603	29327
chembl227934	441071
chembl1721885	10138259
chembl3545160	10138259
chembl983	22475
chembl832	5342
chembl48802	5350
chembl26	5355
chembl128	5358
chembl1567	6456015
chembl485673	104781
chembl235191	2746
chembl2180604	24767976
chembl3544931	53252276
chembl1615025	24963252
chembl61872	164509
chembl3137320	44819241
chembl124660	3038522
chembl109480	6505803
chembl190083	92337
chembl2387080	51001932
chembl1657	5381
chembl2104986	9878913
chembl113461	65825
chembl2079588	9808844
chembl810	5394
chembl1201182	6918289
chembl452231	452548
chembl73151	443951
chembl3544983	10458325
chembl67934	5701998
chembl1255654	8695
chembl1200413	10648
chembl507974	11174599
chembl14935	127894
chembl1944698	16739650
chembl403989	11973736
chembl1200578	23663537
chembl1378	5440
chembl727	2723601
chembl738	23665410
chembl1200916	66062
chembl2108110	90470996
chembl52609	5789
chembl1201532	NA
chembl42115	853
chembl289228	159324
chembl1289494	9911830
chembl1200773	108173
chembl1689	6048
chembl84	60700
chembl1655	3005573
chembl2103847	15547703
chembl2103875	11707110
chembl1237119	6918140
chembl1451	31307
chembl585	5546
chembl99	444732
chembl1710	2913535
chembl22	5578
chembl1200948	5282318
chembl265256	132947
chembl56564	656665
chembl6640	1150
chembl100473	3006531
chembl3137336	51042438
chembl985	1176
chembl100259	6029
chembl375951	8629
chembl1551	31401
chembl2364652	NA
chembl373742	644077
chembl1201528	8230
chembl101253	151194
chembl1200629	39764
chembl497608	11842604
chembl1229517	42611257
chembl3137309	49846579
chembl439496	6280
chembl492399	11414799
chembl17423	5663
chembl439849	6918314
chembl378544	5388983
chembl501867	249332
chembl538943	16051941
chembl2375172	5311498
chembl1201519	5280483
chembl3544989	121494122
chembl3545366	16123056
chembl1079593	45375955
chembl3545202	59472121
chembl1464	54678486
chembl428496	312145
chembl3545385	NA
chembl3545145	NA
chembl3545401	NA
chembl21536	60809
chembl3545085	59757974
chembl3544935	56963011
chembl3545402	NA
chembl3545285	NA
chembl129	35370
chembl1200679	3007855
chembl1236970	32051
chembl1200929	24424
chembl1185	60857
chembl285802	5736
chembl586701	3702043
chembl6705	72894
chembl404505	3080926
chembl168067	1734
chembl18840	1809
chembl20835	1979
chembl165084	445063
chembl489	449459
chembl12198	602
chembl1180293	90659973
chembl870	2088
chembl275854	2107
chembl1169	4649
chembl36994	2196
chembl28	5280443
chembl3348846	51039095
chembl8260	5281605
chembl1256668	2319
chembl212579	108107
chembl133266	44353155
chembl6291	5083
chembl418971	6623
chembl401930	10390396
chembl25236	3038495
chembl2070241	9941379
chembl1354	175
chembl14	2551
chembl414	8739
chembl1213187	197584
chembl455185	5311042
chembl1240885	11644425
chembl1087629	46880048
chembl115653	9824350
chembl14638	6422124
chembl1435977	16760136
chembl13662	107950
chembl37853	5311053
chembl64249	1238
chembl1234613	5892
chembl6466	323
chembl47277	6603754
chembl440498	3342298
chembl9871	274
chembl285123	71077
chembl17	3038
