DrugID_ChEMBL	PCID
chembl406270	439196
chembl279107	439456
chembl295069	5885
chembl21156	5494425
chembl1234276	78165
chembl299613	66414
chembl47181	529
chembl43048	1615
chembl275084	3758
chembl278663	31721
chembl261720	5330812
chembl1233349	5288564
chembl1201584	NA
chembl1201293	71158
chembl39560	6077
chembl20	1986
chembl600	12035
chembl25	2244
chembl1131	5284513
chembl1194325	11434515
chembl1201580	NA
chembl1265	60164
chembl1088977	34755
chembl226345	190
chembl574817	159296
chembl133463	91532
chembl131890	440317
chembl752	6083
chembl328250	37632
chembl2103791	11198924
chembl58343	199
chembl1201571	NA
chembl1201587	NA
chembl675	16760285
chembl705	449171
chembl8739	5280934
chembl661	2118
chembl428690	5287969
chembl945	16231
chembl629	2160
chembl1491	2162
chembl267894	2164
chembl1113	2170
chembl405	3007
chembl2103851	11282283
chembl186141	5318517
chembl423192	253602
chembl2108175	NA
chembl53	6005
chembl514800	11561674
chembl7863	6464
chembl1112	60795
chembl1200978	261004
chembl504548	3036780
chembl641	54841
chembl14249	5957
chembl517712	174174
chembl444	2294
chembl1201439	NA
chembl279786	5362422
chembl408513	6918638
chembl1684	2315
chembl1200707	101584
chembl1201039	2343
chembl1008	2351
chembl1614854	64689
chembl254951	1567
chembl1201260	2368
chembl1201583	NA
chembl857	171548
chembl357995	44112
chembl288441	5328940
chembl2105760	11978813
chembl607400	9837243
chembl277062	2441
chembl493	31101
chembl811	6834
chembl1072	2471
chembl449	2479
chembl454	2481
chembl404422	6473
chembl1201087	54746
chembl113	2519
chembl2106123	13136
chembl2106566	24456
chembl451887	11556711
chembl2028019	11154555
chembl723	2585
chembl1730	5742673
chembl1201577	NA
chembl451	2712
chembl1179047	8612
chembl71	2726
chembl908	667467
chembl205596	221493
chembl920	305
chembl43064	1547484
chembl2104926	3033621
chembl13852	2765
chembl1261	311
chembl1619	20279
chembl49080	2783
chembl70418	2789
chembl415	2801
chembl452	2802
chembl134	2803
chembl1213252	2809
chembl1697737	2811
chembl42	2818
chembl370805	446220
chembl1213327	87642
chembl2108350	NA
chembl283800	586
chembl2110563	5311498
chembl516	2913
chembl497939	10235
chembl225983	447315
chembl2028663	44462760
chembl1201605	NA
chembl284348	1727
chembl1479	28417
chembl1346	444031
chembl1421	3062316
chembl1200733	42113
chembl72	2995
chembl284377	68841
