ensembl_peptide_id hgnc_symbol
ENSP00000313437 MMP19
ENSP00000316029 TLN1
ENSP00000316674 ACTL9
ENSP00000317473 RABGGTB
ENSP00000317985 ROCK2
ENSP00000318197 TUBA3E
ENSP00000318697 TUBB6
ENSP00000320089 NKX2-6
ENSP00000320295 TUBB3
ENSP00000321389 HIST1H2AC
ENSP00000321835 ETV4
ENSP00000322270 ADGRL2
ENSP00000322775 RHBDF2
ENSP00000322801 OR52N2
ENSP00000323435 SNX22
ENSP00000323670 ZBTB7A
ENSP00000323714 EIF4E1B
ENSP00000323811 HACL1
ENSP00000325421 PARL
ENSP00000325546 PLAG1
ENSP00000326042 TUBA3D
ENSP00000326219 DHRS4
ENSP00000326627 ASIC4
ENSP00000327758 NKX2-5
ENSP00000327975 DHRS7C
ENSP00000328484 HIST1H2AJ
ENSP00000328708 RXFP3
ENSP00000328720 FOXK1
ENSP00000328813 KCNH8
ENSP00000329170 POU3F2
ENSP00000329647 ACTL10
ENSP00000330098 FBXL6
ENSP00000330237 CASP9
ENSP00000330671 DNAH11
ENSP00000331514 ACTG1
ENSP00000331983 CARMIL1
ENSP00000332790 HIST2H2AB
ENSP00000333019 ADSSL1
ENSP00000333037 ACTRT3
ENSP00000333300 HSD17B13
ENSP00000333326 TUBA8
ENSP00000333363 DNAH8
ENSP00000333685 MAPK11
ENSP00000334113 DHRSX
ENSP00000334300 ACTL7A
ENSP00000334801 DHRS4L2
ENSP00000334813 RAX
ENSP00000334876 GRK1
ENSP00000334958 CARMIL2
ENSP00000335074 GHRL
ENSP00000336702 EIF5A
ENSP00000336712 TNPO1
ENSP00000336799 TUBA1B
ENSP00000336829 FGG
ENSP00000336842 ACTR8
ENSP00000336914 FGD3
ENSP00000337255 KCNE1
ENSP00000337691 MAPK15
ENSP00000337724 ZNF202
ENSP00000338010 IL21R
ENSP00000339001 TUBB
ENSP00000340954 CNBD2
ENSP00000341094 HIST1H2AD
ENSP00000341289 TUBB4B
ENSP00000341730 RPL10
ENSP00000341838 TNNI3
ENSP00000341843 ETV7
